"","TssActive","Transcript","Enhancer","Heterochromatin","TssBiv","Repressive","Quies"
"hyper1",99.3352342338029,156.451370743628,182.919376151059,-11.4178926145254,72.809428767806,-36.1473448419975,-71.8681988643443
"hypo1",-22.3947713954168,-167.827746511847,-32.2550958528374,57.0602497120841,-11.1558068527451,254.645562090359,207.901199332515
"hyper2",73.0486029007825,113.411700370975,119.773261358684,-16.6012595111516,50.4646082343156,-36.8154787284385,-63.4003435557579
"hypo2",-24.3835208848554,-188.635851033767,-5.32445731042835,69.7074566019378,-12.3116326443021,338.069785008038,229.737868942012
"hyper3",46.9687001448368,42.0009355150702,108.135501078846,-4.81301119167584,48.4557020539112,-15.5649723116369,-46.2114830853191
"hypo3",-51.048741154084,-169.026791451153,-13.5135665510204,91.8481533412488,-6.82691628899988,434.416162980004,415.302175521729
"hyper4",94.0449295440533,121.641553203205,186.858769216798,-18.5177083804061,75.7160166695942,-46.0180453336497,-78.6286623550029
"hypo4",-34.4113967821003,-194.934975729611,-10.7303927386262,39.1056340812958,-12.1775580638838,389.630949611026,247.533271993355
