"","TssActive","Transcript","Enhancer","Heterochromatin","TssBiv","Repressive","Quies"
"hyper1",0.0792086481318204,0.390805432764168,0.139352490681792,0.0736176826733951,0.0261148889542239,0.113471607634636,0.177429249159965
"hypo1",0.00803660621448993,0.0112282680101852,0.0152926900210324,0.0903615544375351,0.000317359293501343,0.303582655423052,0.571180866600204
"hyper2",0.0912595234356396,0.49649222062696,0.126618998128351,0.0224748795272747,0.0288367133269064,0.117565119746589,0.116752545208279
"hypo2",0.0102127083603467,0.0334939107282786,0.0223299942089434,0.0554894308480964,0.000374243141015903,0.36026755956565,0.517832153147669
"hyper3",0.103545135015395,0.310068808513422,0.203713147920847,0.081974128758257,0.0694082447507195,0.168620094228241,0.0626704408131194
"hypo3",0.0066527993820125,0.0860583129600722,0.0281508614211871,0.0689674898353606,0.000891081501328792,0.297624969569631,0.511654485330408
"hyper4",0.0803030910159977,0.408414891443202,0.161896574528098,0.044456836163584,0.0472732239883731,0.138480953170356,0.119174429690388
"hypo4",0.010011273976477,0.0183028319970845,0.0277009607498707,0.0576767051300403,0.000591998972518065,0.363085847380067,0.522630381793942
